Noise(in %),MSE⬇️,RASE⬇️,UQI⬆️,PSNR⬆️,SSIM⬆️,SCC⬆️
10,25.813920084635416,inf,0.9965264080865968,34.01226399646353,0.996309248815094,0.9748461963048393
20,101.67723171657985,inf,0.9916271724893312,28.058566473441843,0.9917054843176669,0.9573639853996138
30,227.9864070638021,inf,0.9848958998918241,24.551714064690515,0.9836982571894278,0.9179961247191063
40,404.9970556640625,inf,0.9766009331596731,22.056284949705223,0.9712651857853295,0.8614910817893727
50,632.7507218424479,inf,0.966975566993046,20.118477115938997,0.9550356634576365,0.8038845737739976
80,1609.7832641601562,inf,0.9324801414868022,16.063129528580948,0.8950316863050226,0.6707460272696406
