Noise(in %),MSE⬇️,RASE⬇️,UQI⬆️,PSNR⬆️,SSIM⬆️,SCC⬆️
10,906.893160264757,inf,0.9693846407348046,18.555242343816946,0.2890866575157616,0.16579773318060345
20,1831.037354329427,inf,0.9441877042366299,15.503831565915187,0.17066409894750847,0.10471518884125626
30,2768.208810763889,inf,0.9199787937583874,13.708815142659372,0.11657233465032708,0.0763602969768395
40,3713.246651746962,inf,0.8960236563126508,12.433265627500514,0.08442047964533987,0.057043417296080916
50,4656.787731933594,inf,0.8720780918515865,11.449939187159277,0.061717310471249086,0.04253913482434154
80,7413.3797501627605,inf,0.8003871014922139,9.430641134541116,0.023405693991572944,0.013253782353822748
