Noise(in %),MSE⬇️,RASE⬇️,UQI⬆️,PSNR⬆️,SSIM⬆️,SCC⬆️
10,0.32669542100694443,,0.9996456987664347,52.989373134611995,0.999048220288703,0.989095595921762
20,0.3301508246527778,,0.9996456097051419,52.94367974474076,0.9990218247493874,0.9890354582404088
30,2.8871864149305555,,0.9991671299436099,43.52605535296155,0.9900161498167387,0.9582663354855642
40,37.75004611545139,inf,0.9955401509898681,32.36162874368297,0.8900230347518346,0.7065527012603273
50,132.85716634114584,inf,0.9894958777396079,26.89695375561776,0.7334901498460344,0.46907822742500455
80,641.997412109375,inf,0.9658984974814646,20.05547083435947,0.4565022934182892,0.24316851539630047
