Noise(in %),MSE⬇️,RASE⬇️,UQI⬆️,PSNR⬆️,SSIM⬆️,SCC⬆️
10,0.32669542100694443,,0.9996456987664347,52.989373134611995,0.999048220288703,0.989095595921762
20,0.33045030381944446,,0.9996456114210357,52.93974205366417,0.999041484914022,0.9890728456013985
30,7.546656629774305,,0.9994815747621498,39.35325770673353,0.9756470621048493,0.9230979054342066
40,108.6693115234375,,0.9970640198205011,27.769734452798545,0.7468842408293076,0.5187966387274522
50,387.7353732638889,inf,0.990122551761357,22.245449371819987,0.48909845021987514,0.286908514539746
80,1918.4326128472221,inf,0.9437004541047195,15.301338121590094,0.21514641988576141,0.13171727057949056
