Noise(in %),MSE⬇️,RASE⬇️,UQI⬆️,PSNR⬆️,SSIM⬆️,SCC⬆️
10,930.9064374457465,1466.266902200533,0.9637853837045531,18.441743273011124,0.22985353232746678,0.15905883551235733
20,1895.3505970594617,2104.332029158761,0.9337774223897989,15.353908044609813,0.16309955578449306,0.12161809334030269
30,2919.6605072699654,2621.584494346548,0.9045848150559879,13.477480054438013,0.12565400499296464,0.09548287997315096
40,3963.206717936198,3062.752122618675,0.8765870323327322,12.150336354634145,0.09966021085832716,0.07538320072599754
50,5056.467797851563,3464.7975145685077,0.8483005032592238,11.092331150897154,0.07800402683390223,0.05898134913377633
80,8483.297783203125,4490.909306211524,0.7628767905170272,8.845156488665905,0.03123101341964811,0.02159157239077986
