Noise(in %),MSE⬇️,RASE⬇️,UQI⬆️,PSNR⬆️,SSIM⬆️,SCC⬆️
10,29.90470893012153,266.8978671487562,0.9966867969786842,33.37340781194095,0.9925723598474919,0.6549655822182475
20,104.88042805989583,498.39622076560283,0.9906081733983351,27.923859096489707,0.983742655574399,0.5522810623714708
30,227.62628851996527,733.1309456340186,0.9823234054937088,24.558579436551508,0.9672116589462655,0.4570069934401988
40,397.0158509657118,968.0707856931019,0.9723628911782495,22.142725144334676,0.9421990205613401,0.39634096034006494
50,610.282194281684,1201.442848157802,0.961181567730445,20.275496617912427,0.9100748750407378,0.35775248535382137
80,1466.7102110460069,1873.7988405879073,0.9235827468108851,16.467360453721067,0.8104906384632106,0.2993869469122729
