Noise(in %),MSE⬇️,RASE⬇️,UQI⬆️,PSNR⬆️,SSIM⬆️,SCC⬆️
10,939.8699442545573,1669.19091815682,0.9436399623898231,18.400125991834514,0.2841177672012772,0.10664085283651925
20,1890.6076901753743,2384.363317021202,0.9026670163895932,15.364789407843295,0.18144583506358594,0.06698025375669896
30,2882.1150182088218,2954.165316265914,0.8669463050225857,13.533690524063626,0.1297326302556028,0.05040001617885631
40,3870.614358266195,3423.3870846067944,0.8359612885675191,12.25300457546913,0.09585593017624888,0.037072372628917855
50,4893.308868408203,3847.581785389827,0.8066352014335133,11.23477731330793,0.0717002120524753,0.029251787985499943
80,8020.966431935628,4925.315586189375,0.7268502936228147,9.088536620637539,0.025832002540351548,0.009209920659931313
