Noise(in %),MSE⬇️,RASE⬇️,UQI⬆️,PSNR⬆️,SSIM⬆️,SCC⬆️
10,18.147747039794922,221.07748214736466,0.9990221087941666,35.54257643832828,0.9241920285824192,0.5821944448947243
20,18.152057647705078,221.09405570077288,0.9990219459024955,35.541544987468455,0.9241843136032877,0.582181466423992
30,23.472906748453777,240.4478022781876,0.9988228590502995,34.42513487432619,0.9036390443681608,0.5582202124273966
40,93.71039072672527,448.9321669877972,0.9960613410424289,28.4129261218838,0.715563438833447,0.3832204792942942
50,291.4099591573079,801.5452599703642,0.9882800971157332,23.485759708356078,0.5163344300334932,0.2364028875530426
80,1375.6923637390137,1770.7571147101605,0.9436586531310575,16.7455903428528,0.26894523123533,0.10387640516125746
