Noise(in %),MSE⬇️,RASE⬇️,UQI⬆️,PSNR⬆️,SSIM⬆️,SCC⬆️
10,43.23480478922526,355.4421159284083,0.995689044818049,31.772468584479924,0.9214311001997597,0.5788473958171857
20,118.36718495686848,594.1972767742485,0.9869985351517472,27.398490416519227,0.9142139764697692,0.5698141037230899
30,242.83690388997397,853.3394914004128,0.9746918977364271,24.277656737781484,0.9027729356140912,0.5549483536271856
40,414.5325787862142,1117.2943613813957,0.95998922305876,21.955216927341453,0.8875347504612439,0.5366620514022983
50,631.0634244283041,1380.964549949172,0.9437717582844565,20.13007351077028,0.868883841389198,0.5137739497604117
80,1522.023703257243,2158.013911982227,0.8905558360205982,16.306589448895554,0.8037528484244326,0.4490404285881447
