Noise(in %),MSE⬇️,RASE⬇️,UQI⬆️,PSNR⬆️,SSIM⬆️,SCC⬆️
10,18.147747039794922,221.07748214736466,0.9990221087941666,35.54257643832828,0.9241920285824192,0.5821944448947243
20,18.147747039794922,221.07748214736466,0.9990221087941666,35.54257643832828,0.9241920285824192,0.5821944448947243
30,23.15990956624349,241.29045745416457,0.9984940597759592,34.483435016224476,0.9109335147587466,0.5654263153631925
40,82.23044204711914,457.09167838133993,0.9920983950464836,28.980477359607065,0.7764680518875977,0.423218578772007
50,254.34961446126303,871.9032412925133,0.9759423215293287,24.076492771960858,0.57826477891863,0.24697914686876912
80,1146.0384915669758,1942.6950087643736,0.9175078044341299,17.53881156504946,0.3124635910357428,0.10564566091282418
