Noise(in %),MSE⬇️,RASE⬇️,UQI⬆️,PSNR⬆️,SSIM⬆️,SCC⬆️
10,1.3590375434027777,74.44137278241688,0.9997288022740508,46.79848906587627,0.9988343192421723,0.9640728878925787
20,1.3668158637152779,74.50868470741864,0.999728299425629,46.77370350147078,0.9988289501692682,0.9640668580492848
30,5.025628255208333,114.49760601444689,0.9990620832530009,41.118900001057106,0.9944702163877213,0.9408482328432739
40,58.24267361111111,523.1622748651989,0.990153442222664,30.47839057957484,0.9421713620716123,0.7660794131407265
50,204.44412489149306,1121.1564803322335,0.9712675909032679,25.02505726113855,0.8443771886692156,0.6111256786095067
80,1019.77837890625,2602.0372087901133,0.9069022247517303,18.045745609450737,0.6084333940999253,0.400656572908416
