Noise(in %),MSE⬇️,RASE⬇️,UQI⬆️,PSNR⬆️,SSIM⬆️,SCC⬆️
10,1.3590375434027777,74.44137278241688,0.9997288022740508,46.79848906587627,0.9988343192421723,0.9640728878925787
20,1.3634339735243055,74.48817102986683,0.9997287082961793,46.784462494874795,0.9987987221534921,0.9638663571894328
30,8.091119520399305,113.66458063522023,0.9994891230145214,39.05071744336747,0.9785666133583245,0.8912259880826628
40,97.34982584635416,444.55975649975977,0.9963481469066083,28.247451819408276,0.826016618053655,0.6958116960895373
50,345.40422309027775,898.1705174527115,0.9878021501014328,22.747527176955554,0.6837875355866521,0.5620028530535743
80,1680.4798510742187,2091.227170807636,0.9375396060106818,15.87647051214894,0.4474608345855485,0.3305034993601477
