Noise(in %),MSE⬇️,RASE⬇️,UQI⬆️,PSNR⬆️,SSIM⬆️,SCC⬆️
10,26.77415500217014,357.8996525160288,0.9945882125966273,33.85364587570763,0.9951702369346318,0.8795656390844476
20,101.34283365885416,696.3035232881593,0.9836278114935652,28.07287317384555,0.9871957453411618,0.8450576465288938
30,223.7218031141493,1037.197669145126,0.9693492556407892,24.63372049946325,0.9750533093616607,0.815192480538693
40,390.1162475585937,1375.83715853009,0.9530704022397795,22.218863226860837,0.9602935441079379,0.7916661182204572
50,593.3457115342882,1708.82356122063,0.9356408126568163,20.39772553062449,0.945383622456596,0.7729787688089944
80,1370.7869900173612,2664.185333470802,0.8819297450054345,16.761103869298083,0.9087089705974262,0.7255538901302384
