Picture,Noise,Filter,MSE⬇️,RASE⬇️,UQI⬆️,PSNR⬆️,SSIM⬆️,SCC⬆️
leaves,gaussian_noise,My Filter,280.2756583658854,2727.240227913539,0.8469435905606121,23.654949794701714,0.6163172237099216,0.45168910846856625
leaves,gaussian_noise,Median Filter,118.29050564236111,719.716807541655,0.9450115555641673,27.401304726440678,0.7886446570757482,0.20379618503361394
leaves,poisson_noise,My Filter,602.6092586263021,3351.202067889015,0.7966067663379045,20.33044560879687,0.8237144352051037,0.6913203854978635
leaves,poisson_noise,Median Filter,694.6191636827257,3422.036772599395,0.7940208224280526,19.71333600080824,0.6838170548462136,0.2411819598153546
leaves,speckle_noise,My Filter,262.3487925889757,937.4300405488226,0.9432646617672772,23.942012910877047,0.6955343512012956,0.3611190697507745
leaves,speckle_noise,Median Filter,121.77069064670138,579.2269507776127,0.9635043983518364,27.27537591636409,0.8084358678484448,0.22834681763195286
leaves,sp_noise,My Filter,6004.0971283637155,11265.898345664566,0.6143537449689545,10.346326516519067,0.08332876248219193,0.05149473392174242
leaves,sp_noise,Median Filter,1507.8262915039063,5654.737172190446,0.7491216162066813,16.347290491661845,0.28103712242855944,0.01271641060387069
