Noise(in %),MSE⬇️,RASE⬇️,UQI⬆️,PSNR⬆️,SSIM⬆️,SCC⬆️
10,26.640261773003473,685.2308298741644,0.9316162822584282,33.8754187287669,0.9557842720632789,0.9077479714764736
20,99.82931315104166,1347.0612564705964,0.8900070876455755,28.1382227779186,0.920836002507226,0.8677621143546653
30,220.9067298719618,2014.5746590466097,0.8554157594574079,24.68871414114918,0.8891540487219114,0.8075913748781725
40,389.29258138020833,2684.1451161665577,0.8246219478124949,22.228042332769963,0.8568335048299222,0.7472512551091155
50,602.668297797309,3351.802287068433,0.7965742512565227,20.33002014022213,0.8232234362550243,0.6945495844373216
80,1504.842820909288,5347.301838340693,0.7234340133647637,16.35589220125149,0.7190403636348256,0.5852949534189027
