Noise(in %),MSE⬇️,RASE⬇️,UQI⬆️,PSNR⬆️,SSIM⬆️,SCC⬆️
10,1078.2159657118057,4612.79415015107,0.7854796203015737,17.803746025005015,0.3256621199133376,0.19806258600209026
20,2227.9627037217883,6716.347316689462,0.7246299766428361,14.6517244443058,0.20894732907768984,0.12801413398735056
30,3439.6112383355035,8419.461479620873,0.6807274737780807,12.765710016064677,0.14923301854475282,0.09275492891196653
40,4711.257070855035,9915.692429870895,0.645020328648373,11.39943558602126,0.11122665104315445,0.07080552112347796
50,6042.465386013455,11295.609002351901,0.6135333694948475,10.31866189617169,0.08289344184390073,0.053741917543986384
80,10291.89792751736,14922.803500913915,0.5336681729611572,8.005848905328454,0.029321703122435348,0.016376042499342804
