Noise(in %),MSE⬇️,RASE⬇️,UQI⬆️,PSNR⬆️,SSIM⬆️,SCC⬆️
10,1.574961208767361,100.21198610649964,0.989986757745236,46.158104992665756,0.9955562317514022,0.958638261468469
20,1.5760313585069445,100.22462384699104,0.9899866997534937,46.15515506412954,0.9955552453976625,0.9586239244990001
30,6.689415690104167,222.87541498476926,0.9800120377234526,39.876921763805115,0.973209675066751,0.901476921883935
40,78.13853624131944,1262.4373265588874,0.91094563361202,29.2021508948301,0.7833404839179194,0.6106981787637746
50,281.07476508246526,2739.966643981508,0.8466518542198207,23.642585045076743,0.6174012280291845,0.463520748045302
80,1417.2923996310765,6353.4434502126305,0.7407270693596052,16.616209026839122,0.43296110662321996,0.30791696446850897
